Student ID,Age,Gender,Academic Performance (GPA),Study Hours Per Week,Social Media Usage (Hours per day),Sleep Duration (Hours per night),Physical Exercise (Hours per week),Family Support  ,Financial Stress,Peer Pressure,Relationship Stress,Mental Stress Level,Counseling Attendance,Diet Quality,Stress Coping Mechanisms,Cognitive Distortions,Family Mental Health History,Medical Condition,Substance Use
802-17-3671,22,Female,2,9,2,12,2,1,1,3,5,9,No,1,Walking or Nature Walks,4,No,Yes,1
871-12-8572,25,Female,0,28,0,6,0,1,1,1,2,9,Yes,3,Meditation,2,Yes,No,1
495-13-2672,24,Female,0,45,3,12,10,3,3,1,4,9,Yes,5,Reading,1,Yes,Yes,3
365-77-2496,20,Male,2,8,7,7,4,1,3,2,5,1,No,1,Social Media Engagement,2,Yes,No,4
664-76-5622,28,Male,0,14,6,8,1,2,4,4,2,7,Yes,1,Exercise,1,Yes,No,3
386-91-7629,24,Female,2,27,7,4,3,2,1,1,5,2,No,4,Talking to Friends,3,Yes,No,1
740-27-0902,23,Female,1,30,5,9,3,5,4,3,5,10,No,5,Yoga,1,Yes,No,1
193-03-0467,25,Male,3,12,0,4,5,5,5,1,3,4,No,1,Meditation,5,No,Yes,3
195-29-3231,19,Female,3,19,1,6,10,5,5,3,3,8,No,3,Talking to Friends,4,No,No,3
504-53-5581,21,Male,3,4,1,4,8,2,4,1,5,1,Yes,4,Talking to Friends,5,Yes,Yes,3
282-69-0356,24,Male,3,38,6,11,4,2,5,4,5,10,Yes,1,Exercise,5,No,Yes,5
803-83-7625,25,Male,2,2,8,12,3,3,4,5,2,3,Yes,1,Reading,4,Yes,Yes,4
249-06-6401,25,Female,0,30,3,10,3,2,3,5,5,9,No,1,Reading,2,Yes,No,4
713-55-3396,21,Female,0,39,2,4,0,1,5,5,5,4,Yes,5,Exercise,4,No,No,1
879-05-6220,22,Male,0,44,5,10,2,4,3,1,2,10,Yes,3,Reading,4,Yes,No,2
355-95-4355,24,Female,2,49,3,4,4,4,3,4,1,3,No,4,Social Media Engagement,4,Yes,No,5
658-67-3956,23,Female,0,19,4,5,10,2,5,3,4,1,No,1,Watching Sports,5,No,Yes,1
161-68-2043,18,Female,0,26,5,8,3,3,2,1,1,9,No,2,Exercise,3,No,No,5
438-56-6737,27,Male,3,54,6,5,8,3,2,2,5,4,No,2,Yoga,5,No,No,1
489-39-4380,24,Female,0,35,4,12,0,5,2,2,3,3,Yes,3,Spending Time Alone,1,Yes,No,3
375-79-2097,18,Female,2,49,5,7,2,1,3,1,1,1,No,1,Spending Time Alone,5,Yes,No,2
861-60-5151,30,Agender,0,37,4,12,10,4,3,5,4,4,No,2,Watching Sports,5,Yes,No,1
629-99-0767,24,Male,1,8,1,6,7,4,2,4,4,1,Yes,1,Social Media Engagement,4,No,Yes,3
115-75-7195,28,Agender,4,21,8,12,8,4,2,3,5,1,Yes,1,Travelling,3,Yes,Yes,4
589-36-1147,28,Male,4,58,8,11,4,3,5,3,1,3,Yes,5,Walking or Nature Walks,1,Yes,Yes,4
517-61-7254,23,Female,2,32,1,7,8,5,4,5,1,6,Yes,3,Talking to Friends,1,No,Yes,5
373-92-3214,29,Female,3,13,8,7,7,2,2,2,4,8,Yes,4,Spending Time Alone,3,No,No,5
148-22-9008,25,Female,4,46,2,12,2,5,4,1,1,7,Yes,3,Talking to Friends,3,Yes,No,3
270-48-3167,28,Male,3,19,3,11,4,4,4,3,5,10,No,4,Talking to Friends,1,No,Yes,2
594-28-4204,26,Bigender,3,46,6,5,8,4,5,5,2,8,No,2,Watching Sports,4,Yes,No,2
631-14-1769,28,Male,1,43,1,10,0,3,2,2,4,1,Yes,2,Exercise,3,Yes,Yes,1
832-04-3592,18,Male,3,7,4,4,2,1,3,1,5,10,No,4,Watching Sports,2,No,No,1
810-52-2018,20,Female,2,11,3,6,7,2,1,4,2,1,Yes,5,Travelling,2,Yes,No,2
230-07-5794,26,Female,2,34,3,10,2,1,5,1,3,9,No,2,Exercise,3,Yes,Yes,2
777-52-9937,18,Female,0,36,7,5,2,1,1,1,4,4,Yes,3,Meditation,2,Yes,Yes,1
505-69-0221,22,Female,1,49,2,9,1,5,2,2,2,2,No,2,Travelling,5,Yes,No,2
204-29-1694,21,Male,3,40,3,10,5,2,1,2,5,4,No,2,Social Media Engagement,4,Yes,Yes,3
535-17-9130,27,Male,0,15,7,4,1,1,4,1,1,1,No,5,Reading,3,No,Yes,4
403-92-9632,25,Male,0,6,8,9,3,4,5,2,1,8,No,4,Meditation,5,Yes,No,4
